model,landscape,climate,year,species,disturbances,diversity,scenario,AGB_t_ha_med
ILAND,dischma,historic,0,pice,historic,low,beta,0.23301619632010986
ILAND,dischma,historic,0,pice,no,high,alpha,9.561191329401248
ILAND,dischma,historic,0,pice,no,high,beta,11.08267293728466
ILAND,dischma,historic,0,pice,no,high_future,alpha,9.563874247748682
ILAND,dischma,historic,0,pice,no,high_future,beta,11.079479703734346
ILAND,dischma,historic,0,pice,no,low,alpha,0.28192427617295335
ILAND,dischma,historic,0,pice,no,low,beta,0.23308844136487075
ILAND,dischma,historic,0,potr,future,high,alpha,1.2651029942512173
ILAND,dischma,historic,0,potr,future,high,beta,0.8204118512647058
ILAND,dischma,historic,0,potr,future,high_future,alpha,1.2637682790406863
ILAND,dischma,historic,0,potr,future,high_future,beta,0.8207720540223697
ILAND,dischma,historic,0,potr,historic,high,alpha,1.264841366914207
ILAND,dischma,historic,0,potr,historic,high,beta,0.8210599499965654
ILAND,dischma,historic,0,potr,historic,high_future,alpha,1.2650818671042168
ILAND,dischma,historic,0,potr,historic,high_future,beta,0.8209353230358752
ILAND,dischma,historic,0,potr,no,high,alpha,1.2643022542694908
ILAND,dischma,historic,0,potr,no,high,beta,0.8208646722706772
ILAND,dischma,historic,0,potr,no,high_future,alpha,1.2645833908824384
ILAND,dischma,historic,0,potr,no,high_future,beta,0.8202367034894318
ILAND,dischma,historic,10,alvi,future,high,alpha,0.02515929505938335
ILAND,dischma,historic,10,alvi,future,high,beta,7.882490940392017e-5
ILAND,dischma,historic,10,alvi,future,high_future,alpha,0.02506436800330732
ILAND,dischma,historic,10,alvi,future,high_future,beta,6.930309349019181e-5
ILAND,dischma,historic,10,alvi,future,low,alpha,0.03721082560811192
ILAND,dischma,historic,10,alvi,future,low,beta,0.022548094745579086
ILAND,dischma,historic,10,alvi,historic,high,alpha,0.025271733830096697
ILAND,dischma,historic,10,alvi,historic,high,beta,7.499512607879525e-5
ILAND,dischma,historic,10,alvi,historic,high_future,alpha,0.025187759112242816
ILAND,dischma,historic,10,alvi,historic,high_future,beta,6.633616411374359e-5
ILAND,dischma,historic,10,alvi,historic,low,alpha,0.03715023130168765
ILAND,dischma,historic,10,alvi,historic,low,beta,0.022583802172693172
ILAND,dischma,historic,10,alvi,no,high,alpha,0.025214579699399556
ILAND,dischma,historic,10,alvi,no,high,beta,7.690851951576972e-5
ILAND,dischma,historic,10,alvi,no,high_future,alpha,0.02519761300957353
ILAND,dischma,historic,10,alvi,no,high_future,beta,7.49678740082137e-5
ILAND,dischma,historic,10,alvi,no,low,alpha,0.03725180608239166
ILAND,dischma,historic,10,alvi,no,low,beta,0.022638050279733427
ILAND,dischma,historic,10,bepe,future,high,alpha,2.824369848040119
ILAND,dischma,historic,10,bepe,future,high,beta,4.062039463276182
ILAND,dischma,historic,10,bepe,future,high_future,alpha,2.818260024768205
ILAND,dischma,historic,10,bepe,future,high_future,beta,4.059317899503783
ILAND,dischma,historic,10,bepe,historic,high,alpha,2.8178437150448583
ILAND,dischma,historic,10,bepe,historic,high,beta,4.069030514561572
ILAND,dischma,historic,10,bepe,historic,high_future,alpha,2.8111273656758162
ILAND,dischma,historic,10,bepe,historic,high_future,beta,4.072774061870295
ILAND,dischma,historic,10,bepe,no,high,alpha,2.8055655234576014
ILAND,dischma,historic,10,bepe,no,high,beta,4.078267586058605
ILAND,dischma,historic,10,bepe,no,high_future,alpha,2.8090189118269926
ILAND,dischma,historic,10,bepe,no,high_future,beta,4.071734543605416
ILAND,dischma,historic,10,lade,future,high,alpha,36.755309825433024
ILAND,dischma,historic,10,lade,future,high,beta,40.56557799941636
ILAND,dischma,historic,10,lade,future,high_future,alpha,36.78663949040302
ILAND,dischma,historic,10,lade,future,high_future,beta,40.59945729967028
ILAND,dischma,historic,10,lade,future,low,alpha,16.4676057968148
ILAND,dischma,historic,10,lade,future,low,beta,25.107822569825004
ILAND,dischma,historic,10,lade,historic,high,alpha,36.996116600304994
ILAND,dischma,historic,10,lade,historic,high,beta,41.011082268564735
ILAND,dischma,historic,10,lade,historic,high_future,alpha,36.98684285522105
ILAND,dischma,historic,10,lade,historic,high_future,beta,41.00685630532526
ILAND,dischma,historic,10,lade,historic,low,alpha,16.59501580857142
ILAND,dischma,historic,10,lade,historic,low,beta,25.274248454681256
ILAND,dischma,historic,10,lade,no,high,alpha,37.22695937977554
ILAND,dischma,historic,10,lade,no,high,beta,41.30390110235387
ILAND,dischma,historic,10,lade,no,high_future,alpha,37.24173314171169
ILAND,dischma,historic,10,lade,no,high_future,beta,41.304304573465714
ILAND,dischma,historic,10,lade,no,low,alpha,16.694860814788427
ILAND,dischma,historic,10,lade,no,low,beta,25.436968419054
ILAND,dischma,historic,10,piab,future,high,alpha,66.18908011557602
ILAND,dischma,historic,10,piab,future,high,beta,46.919339355038616
ILAND,dischma,historic,10,piab,future,high_future,alpha,66.2422304699046
ILAND,dischma,historic,10,piab,future,high_future,beta,46.96710714342651
ILAND,dischma,historic,10,piab,future,low,alpha,136.28919768654987
ILAND,dischma,historic,10,piab,future,low,beta,126.34350016930368
ILAND,dischma,historic,10,piab,future,no,prod,165.4759732888606
ILAND,dischma,historic,10,piab,historic,high,alpha,67.06388083995746
ILAND,dischma,historic,10,piab,historic,high,beta,47.43722756166198
ILAND,dischma,historic,10,piab,historic,high_future,alpha,67.17315635092568
ILAND,dischma,historic,10,piab,historic,high_future,beta,47.376521317687526
ILAND,dischma,historic,10,piab,historic,low,alpha,138.57692231777895
ILAND,dischma,historic,10,piab,historic,low,beta,129.10027094059112
ILAND,dischma,historic,10,piab,historic,no,prod,168.16595845534962
ILAND,dischma,historic,10,piab,no,high,alpha,68.08998415156545
ILAND,dischma,historic,10,piab,no,high,beta,48.29575399724784
ILAND,dischma,historic,10,piab,no,high_future,alpha,68.17637402636615
ILAND,dischma,historic,10,piab,no,high_future,beta,48.27171163722808
ILAND,dischma,historic,10,piab,no,low,alpha,140.5890819296963
ILAND,dischma,historic,10,piab,no,low,beta,130.42303406554703
ILAND,dischma,historic,10,piab,no,no,prod,170.31129538547796
ILAND,dischma,historic,10,pice,future,high,alpha,10.08681949525705
ILAND,dischma,historic,10,pice,future,high,beta,13.838629206205006
ILAND,dischma,historic,10,pice,future,high_future,alpha,10.077238629808019
ILAND,dischma,historic,10,pice,future,high_future,beta,13.824510869198532
ILAND,dischma,historic,10,pice,future,low,alpha,0.38059972638458434
ILAND,dischma,historic,10,pice,future,low,beta,0.4705153391754834
ILAND,dischma,historic,10,pice,historic,high,alpha,10.112315651331649
ILAND,dischma,historic,10,pice,historic,high,beta,13.92818214474977
ILAND,dischma,historic,10,pice,historic,high_future,alpha,10.126925358368586
ILAND,dischma,historic,10,pice,historic,high_future,beta,13.916481296485578
ILAND,dischma,historic,10,pice,historic,low,alpha,0.3812972592378877
ILAND,dischma,historic,10,pice,historic,low,beta,0.4721993693899714
ILAND,dischma,historic,10,pice,no,high,alpha,10.141710274055063
ILAND,dischma,historic,10,pice,no,high,beta,13.97476207173015
ILAND,dischma,historic,10,pice,no,high_future,alpha,10.148494920513823
ILAND,dischma,historic,10,pice,no,high_future,beta,13.977127685019209
ILAND,dischma,historic,10,pice,no,low,alpha,0.3819314439147711
ILAND,dischma,historic,10,pice,no,low,beta,0.47208829151023735
ILAND,dischma,historic,10,potr,future,high,alpha,0.40880460461241197
ILAND,dischma,historic,10,potr,future,high,beta,0.8560972364723787
