model,climate,year,species,AGB,AGB_ha,landscape
ILAND,historic,100,pice,4081829.589,4.422350583965331,dischma
ILAND,historic,100,pisy,69370.987,0.07515816576381365,dischma
ILAND,historic,100,potr,115693.285,0.12534483748645722,dischma
ILAND,historic,100,saca,88.301,9.56673889490791e-5,dischma
ILAND,historic,100,soar,37002.823,0.040089732394366195,dischma
ILAND,historic,100,soau,4569.928,0.004951167930660888,dischma
ILAND,historic,100,tipl,14.457,1.566305525460455e-5,dischma
ILAND,historic,110,alvi,7125.816,0.00772027735644637,dischma
ILAND,historic,110,bepe,391901.746,0.42459560780065003,dischma
ILAND,historic,110,coav,130.64,1.4153846153846153e-4,dischma
ILAND,historic,110,lade,80202254.85,86.89301717226435,dischma
ILAND,historic,110,piab,86025566.899,93.20213098483207,dischma
ILAND,historic,110,pice,4537527.253,4.916064196099675,dischma
ILAND,historic,110,pisy,42680.636,0.04624120910075839,dischma
ILAND,historic,110,potr,127978.176,0.13865457854821236,dischma
ILAND,historic,110,saca,109.765,1.1892199349945829e-4,dischma
ILAND,historic,110,soar,31694.105,0.03433814192849404,dischma
ILAND,historic,110,soau,4838.383,0.005242018418201517,dischma
ILAND,historic,110,tipl,25.573,2.7706392199349947e-5,dischma
ILAND,historic,120,alvi,11241.101,0.01217887432286024,dischma
ILAND,historic,120,bepe,464223.234,0.5029504160346695,dischma
ILAND,historic,120,coav,198.142,2.1467172264355363e-4,dischma
ILAND,historic,120,lade,80938253.511,87.69041550487542,dischma
ILAND,historic,120,piab,91091795.722,98.69100294907909,dischma
ILAND,historic,120,pice,5024136.153,5.4432677713976165,dischma
ILAND,historic,120,pisy,41915.113,0.04541182340195016,dischma
ILAND,historic,120,potr,164251.107,0.1779535287107259,dischma
ILAND,historic,120,saca,71.967,7.797074756229686e-5,dischma
ILAND,historic,120,soar,25330.611,0.027443782231852655,dischma
ILAND,historic,120,soau,3985.915,0.004318434452871073,dischma
ILAND,historic,120,tipl,11.083,1.2007583965330445e-5,dischma
ILAND,historic,130,alvi,12515.601,0.013559697724810402,dischma
ILAND,historic,130,bepe,376829.831,0.40826633911159266,dischma
ILAND,historic,130,coav,161.297,1.7475297941495124e-4,dischma
ILAND,historic,130,lade,81100108.963,87.86577352437703,dischma
ILAND,historic,130,piab,96002887.46700001,104.01179573889492,dischma
ILAND,historic,130,pice,5511307.071,5.971080250270856,dischma
ILAND,historic,130,pisy,38130.226,0.041311187432286026,dischma
ILAND,historic,130,potr,132507.076,0.14356129577464788,dischma
ILAND,historic,130,saca,65.913,7.141170097508126e-5,dischma
ILAND,historic,130,soar,34795.265,0.037698011917659806,dischma
ILAND,historic,130,soau,5051.84,0.005473282773564464,dischma
ILAND,historic,130,tipl,3.399,3.6825568797399782e-6,dischma
ILAND,historic,140,alvi,7210.907,0.007812466955579632,dischma
ILAND,historic,140,bepe,261517.718,0.2833344723726977,dischma
ILAND,historic,140,coav,98.581,1.0680498374864573e-4,dischma
ILAND,historic,140,lade,79707355.162,86.35683116143012,dischma
ILAND,historic,140,piab,98372865.378,106.57948578331528,dischma
ILAND,historic,140,pice,5838982.984,6.326092073672807,dischma
ILAND,historic,140,pisy,36038.817,0.039045305525460455,dischma
ILAND,historic,140,potr,86890.38,0.09413908992416035,dischma
ILAND,historic,140,saca,52.786,5.718959913326111e-5,dischma
ILAND,historic,140,soar,25275.989,0.027384603466955582,dischma
ILAND,historic,140,soau,3406.865,0.0036910780065005414,dischma
ILAND,historic,140,tipl,12.424,1.3460455037919827e-5,dischma
ILAND,historic,150,acps,6.881,7.455037919826652e-6,dischma
ILAND,historic,150,alin,1.388,1.503791982665222e-6,dischma
ILAND,historic,150,alvi,10929.7,0.011841495124593718,dischma
ILAND,historic,150,bepe,377460.44,0.40894955579631637,dischma
ILAND,historic,150,coav,132.204,1.432329360780065e-4,dischma
ILAND,historic,150,lade,78318613.501,84.85223564572048,dischma
ILAND,historic,150,piab,101057920.235,109.4885376327194,dischma
ILAND,historic,150,pice,6300567.29,6.826183412784399,dischma
ILAND,historic,150,pisy,27039.55,0.029295287107258938,dischma
ILAND,historic,150,poni,0.953,1.0325027085590466e-6,dischma
ILAND,historic,150,potr,156383.762,0.16942986132177681,dischma
ILAND,historic,150,saca,66.15,7.166847237269773e-5,dischma
ILAND,historic,150,soar,30351.516,0.032883549295774646,dischma
ILAND,historic,150,soau,4348.68,0.0047114626218851575,dischma
ILAND,historic,150,tipl,2.141,2.3196099674972914e-6,dischma
ILAND,historic,160,abal,88.185,9.554171180931745e-5,dischma
ILAND,historic,160,acps,373.954,4.0515059588299026e-4,dischma
ILAND,historic,160,alvi,3629.582,0.003932374864572047,dischma
ILAND,historic,160,bepe,173218.242,0.18766873456121344,dischma
ILAND,historic,160,coav,103.741,1.1239544962080173e-4,dischma
ILAND,historic,160,fasy,96.808,1.0488407367280608e-4,dischma
ILAND,historic,160,lade,74930990.326,81.18200468689058,dischma
ILAND,historic,160,piab,102604931.994,111.16460671072589,dischma
ILAND,historic,160,pice,6658696.853,7.2141894398699895,dischma
ILAND,historic,160,pisy,17634.161,0.019105266522210184,dischma
ILAND,historic,160,poni,5.792,6.275189599133261e-6,dischma
ILAND,historic,160,potr,48144.727,0.05216113434452871,dischma
ILAND,historic,160,saca,98.66,1.0689057421451787e-4,dischma
ILAND,historic,160,soar,14458.896,0.015665109425785483,dischma
ILAND,historic,160,soau,2600.689,0.0028176478873239434,dischma
ILAND,historic,160,ulgl,5.921,6.414951245937162e-6,dischma
ILAND,historic,170,abal,285.774,3.0961430119176597e-4,dischma
ILAND,historic,170,acps,833.658,9.03204767063922e-4,dischma
ILAND,historic,170,alin,5.748,6.227518959913327e-6,dischma
ILAND,historic,170,alvi,7301.499,0.007910616468039002,dischma
ILAND,historic,170,bepe,230771.774,0.25002359046587214,dischma
ILAND,historic,170,coav,154.13,1.6698808234019501e-4,dischma
ILAND,historic,170,fasy,350.068,3.7927193932827736e-4,dischma
ILAND,historic,170,frex,9.021,9.77356446370531e-6,dischma
ILAND,historic,170,lade,75767772.609,82.08859437594799,dischma
ILAND,historic,170,piab,106656226.719,115.55387510184181,dischma
ILAND,historic,170,pice,7721686.526,8.365857557963164,dischma
ILAND,historic,170,pisy,26652.283,0.02887571289274106,dischma
ILAND,historic,170,poni,3.8899999999999997,4.214517876489707e-6,dischma
ILAND,historic,170,potr,104464.84,0.11317967497291441,dischma
ILAND,historic,170,saca,60.312,6.534344528710725e-5,dischma
ILAND,historic,170,soar,25459.68,0.02758361863488624,dischma
ILAND,historic,170,soau,3645.603,0.003949732394366197,dischma
ILAND,historic,170,tico,70.66499999999999,7.656013001083422e-5,dischma
ILAND,historic,170,tipl,17.721,1.919934994582882e-5,dischma
ILAND,historic,170,ulgl,37.676,4.081906825568798e-5,dischma
ILAND,historic,180,abal,631.569,6.842567713976164e-4,dischma
ILAND,historic,180,acps,1125.457,0.0012193466955579633,dischma
ILAND,historic,180,alvi,7795.312,0.008445625135427952,dischma
ILAND,historic,180,bepe,241319.065,0.26145077464788735,dischma
